,mean_power,min_power,max_power,std_power,median_power,q10,q90,energy_kWh
2023-06-21 00:00:00+00:00,0.21853332175925924,0.0,4.455,0.4921119591382993,0.0,0.0,0.503,0.005244799722222223
2023-06-22 00:00:00+00:00,0.12255366898148148,0.0,4.661,0.2805835374850438,0.0,0.0,0.235,0.002941288055555556
2023-06-23 00:00:00+00:00,0.8468865972222221,0.0,14.249,2.821977091011582,0.007,0.0,0.2941000000000058,0.02032527833333333
2023-06-24 00:00:00+00:00,0.14105394675925925,0.0,3.365,0.3232374964288763,0.0,0.0,0.226,0.003385294722222222
2023-06-25 00:00:00+00:00,2.1264966666666667,0.0,14.314,3.900910999101748,0.154,0.0,9.299100000000005,0.05103591999999999
2023-06-26 00:00:00+00:00,0.22352582175925928,0.0,4.343,0.49413053499838655,0.0,0.0,0.322,0.005364619722222222
2023-06-27 00:00:00+00:00,0.23469192129629632,0.0,3.81,0.48866490275740215,0.0,0.0,0.724,0.005632606111111112
2023-06-28 00:00:00+00:00,0.9479056539351852,0.0,13.207,2.6370977364155777,0.171,0.0,2.026,0.022749735694444443
2023-06-29 00:00:00+00:00,0.18431231481481483,0.0,3.765,0.34566299656194016,0.14,0.0,0.359,0.004423495555555556
2023-06-30 00:00:00+00:00,0.7883082523148148,0.0,12.916,2.4059352990264844,0.14,0.0,1.362,0.018919398055555554
2023-07-01 00:00:00+00:00,0.17613215277777777,0.0,4.117,0.34632555674603505,0.142,0.0,0.244,0.004227171666666666
2023-07-02 00:00:00+00:00,1.951593125,0.0,14.053,3.8917071624013597,0.143,0.0,10.49,0.046838235000000006
2023-07-03 00:00:00+00:00,0.14598385416666665,0.0,3.735,0.2841586804562088,0.024,0.0,0.328,0.0035036125000000003
2023-07-04 00:00:00+00:00,0.6487646990740741,0.0,14.286,2.1849303323256577,0.124,0.0,0.944,0.01557035277777778
2023-07-05 00:00:00+00:00,0.12806134259259258,0.0,3.387,0.26682917246156385,0.0,0.0,0.218,0.0030734722222222222
2023-07-06 00:00:00+00:00,0.21036028935185186,0.0,6.653,0.4664492875964094,0.048,0.0,0.39710000000000584,0.005048646944444445
2023-07-07 00:00:00+00:00,0.17200842592592594,0.0,6.338,0.500450420737935,0.0,0.0,0.218,0.004128202222222222
2023-07-08 00:00:00+00:00,0.11587241898148148,0.0,3.545,0.2274353277913916,0.0,0.0,0.213,0.0027809380555555555
2023-07-09 00:00:00+00:00,0.28628879050925926,0.0,6.583,0.5702109700751314,0.152,0.0,0.682,0.006870930972222222
2023-07-10 00:00:00+00:00,0.07979878927045952,0.0,2.47,0.18288366588577779,0.025487147577380326,0.0015576755787487999,0.165,0.0019151709424910285
2023-07-11 00:00:00+00:00,0.07137454904040787,0.04082808475961493,0.10192101332120082,0.017636315559224305,0.07137454904040788,0.04693737761577351,0.09581172046504223,0.0017129891769697891
2023-07-12 00:00:00+00:00,0.1324681847042584,0.10192172042346545,0.16301464898505136,0.017636315559224312,0.1324681847042584,0.10803101327962404,0.15690535612889278,0.0031792364329022017
2023-07-13 00:00:00+00:00,0.1935618203681089,0.163015356087316,0.22410828464890187,0.017636315559224302,0.19356182036810893,0.16912464894347456,0.2179989917927433,0.004645483688834615
2023-07-14 00:00:00+00:00,0.2546554560319595,0.2241089917511665,0.2852019203127524,0.01763631555922432,0.25465545603195944,0.2302182846073251,0.2790926274565938,0.006111730944767027
2023-07-15 00:00:00+00:00,0.31574909169581,0.285202627415017,0.34629555597660294,0.017636315559224333,0.31574909169581,0.29131192027117564,0.3401862631204443,0.007577978200699439
2023-07-16 00:00:00+00:00,0.3768427273596605,0.34629626307886757,0.40738919164045345,0.0176363155592243,0.3768427273596605,0.35240555593502615,0.4012798987842949,0.009044225456631853
2023-07-17 00:00:00+00:00,0.437936363023511,0.4073898987427181,0.46848282730430396,0.017636315559224312,0.437936363023511,0.41349919159887666,0.4623735344481454,0.010510472712564264
2023-07-18 00:00:00+00:00,0.49902999868736153,0.4684835344065686,0.5295764629681545,0.017636315559224333,0.4990299986873616,0.4745928272627272,0.523467170111996,0.011976719968496679
2023-07-19 00:00:00+00:00,0.560123634351212,0.5295771700704192,0.590670098632005,0.017636315559323462,0.5601236343512122,0.5356864629265777,0.5845608057758465,0.01344296722442909
2023-07-20 00:00:00+00:00,0.6212172700150627,0.5906708057342697,0.6517637342958555,0.017636315559323462,0.6212172700150627,0.5967800985904282,0.645654441439697,0.014909214480361505
2023-07-21 00:00:00+00:00,0.6823109056789132,0.6517644413981202,0.712857369959706,0.017636315559323462,0.6823109056789132,0.6578737342542788,0.7067480771035475,0.016375461736293916
2023-07-22 00:00:00+00:00,0.7434045413427637,0.7128580770619707,0.7739510056235566,0.01763631555932346,0.7434045413427637,0.7189673699181294,0.767841712767398,0.017841708992226327
2023-07-23 00:00:00+00:00,0.8044981770066143,0.7739517127258212,0.8350446412874072,0.01763631555932346,0.8044981770066142,0.7800610055819799,0.8289353484312485,0.01930795624815874
2023-07-24 00:00:00+00:00,0.8655918126704647,0.8350453483896718,0.8961382769512577,0.01763631555932346,0.8655918126704647,0.8411546412458304,0.8900289840950991,0.020774203504091156
2023-07-25 00:00:00+00:00,0.9266854483343153,0.8961389840535223,0.9572319126151082,0.01763631555932346,0.9266854483343152,0.9022482769096809,0.9511226197589496,0.022240450760023563
2023-07-26 00:00:00+00:00,0.9877790839981657,0.9572326197173728,1.0183255482789588,0.017636315559323462,0.9877790839981657,0.9633419125735314,1.0122162554228002,0.023706698015955978
2023-07-27 00:00:00+00:00,1.0488727196620162,1.0183262553812233,1.0794191839428093,0.017636315556554514,1.0488727196620165,1.024435548237382,1.0733098910866508,0.025172945271888392
2023-07-28 00:00:00+00:00,1.1099663553258667,1.0794198910450739,1.1405128196066598,0.017636315556554517,1.109966355325867,1.0855291839012324,1.1344035267505013,0.026639192527820803
2023-07-29 00:00:00+00:00,1.1710599909897175,1.1405135267089244,1.2016064552705104,0.01763631555655452,1.1710599909897175,1.146622819565083,1.1954971624143518,0.028105439783753215
2023-07-30 00:00:00+00:00,1.2321536266535678,1.2016071623727749,1.2627000909343609,0.017636315556554524,1.232153626653568,1.2077164552289334,1.2565907980782023,0.029571687039685633
2023-07-31 00:00:00+00:00,1.2932472623174185,1.2627007980366254,1.3237937265982114,0.01763631555655452,1.2932472623174185,1.268810090892784,1.3176844337420528,0.03103793429561804
2023-08-01 00:00:00+00:00,1.354340897981269,1.323794433700476,1.3848873622620619,0.01763631555655452,1.354340897981269,1.3299037265566345,1.3787780694059033,0.03250418155155045
2023-08-02 00:00:00+00:00,1.4154345336451195,1.3848880693643264,1.4459809979259124,0.01763631555655452,1.4154345336451195,1.390997362220485,1.4398717050697538,0.03397042880748287
2023-08-03 00:00:00+00:00,1.47652816930897,1.4459817050281771,1.507074633589763,0.017636315556554524,1.47652816930897,1.4520909978843355,1.5009653407336045,0.03543667606341529
2023-08-04 00:00:00+00:00,1.5376218049728205,1.5070753406920276,1.5681682692536134,0.017636315556554524,1.5376218049728205,1.513184633548186,1.562058976397455,0.03690292331934769
2023-08-05 00:00:00+00:00,1.5987154406366708,1.5681689763558782,1.629261904917464,0.017636315556554528,1.598715440636671,1.5742782692120365,1.6231526120613056,0.0383691705752801
2023-08-06 00:00:00+00:00,1.6598090763005218,1.6292626120197287,1.6903555405813144,0.017636315556554524,1.6598090763005215,1.635371904875887,1.684246247725156,0.03983541783121252
2023-08-07 00:00:00+00:00,1.720902711964372,1.6903562476835792,1.751449176245165,0.017636315556554524,1.720902711964372,1.6964655405397375,1.7453398833890066,0.04130166508714493
2023-08-08 00:00:00+00:00,1.7819963476282226,1.7514498833474297,1.8125428119090157,0.017636315556554524,1.7819963476282226,1.7575591762035883,1.806433519052857,0.04276791234307734
2023-08-09 00:00:00+00:00,1.8430899832920733,1.8125435190112802,1.8736364475728662,0.017636315556554528,1.843089983292073,1.8186528118674388,1.8675271547167076,0.04423415959900976
2023-08-10 00:00:00+00:00,1.9041836189559238,1.8736371546751307,1.9347300832367167,0.01763631555655453,1.9041836189559236,1.8797464475312893,1.9286207903805581,0.045700406854942165
